word,length,first_letter,last_letter,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
hyperphysical,13,h,l,1,0,1,0,1,0,0,2,1,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,2,0
banc,4,b,c,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
secessionism,12,s,m,0,0,1,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,4,0,0,0,0,0,0,0
yellowlegs,10,y,s,0,0,0,0,2,0,1,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,1,0,1,0
regelate,8,r,e,1,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
twinflowers,11,t,s,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,2,0,0,0
zinkenites,10,z,s,0,0,0,0,2,0,0,0,2,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1
prolongate,10,p,e,1,0,0,0,1,0,1,0,0,0,0,1,0,1,2,1,0,1,0,1,0,0,0,0,0,0
nostocs,7,n,s,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,0,0,0,0,0,0
tiliaceous,10,t,s,1,0,1,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0
bequeathal,10,b,l,2,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
verecund,8,v,d,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
allodial,8,a,l,2,0,0,1,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mutualistic,11,m,c,1,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,2,2,0,0,0,0,0
overtrumped,11,o,d,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,1,1,0,0,0,0
compromiser,11,c,r,0,0,1,0,1,0,0,0,1,0,0,0,2,0,2,1,0,2,1,0,0,0,0,0,0,0
carminatives,12,c,s,2,0,1,0,1,0,0,0,2,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0
bourne,6,b,e,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
cosmologic,10,c,c,0,0,2,0,0,0,1,0,1,0,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0
hydroids,8,h,s,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
tychism,7,t,m,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
flivver,7,f,r,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0
aspers,6,a,s,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0
hemolyses,9,h,s,0,0,0,0,2,0,0,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,1,0
teaberries,10,t,s,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
euglena,7,e,a,1,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
blenny,6,b,y,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0
jarl,4,j,l,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
herpetic,8,h,c,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
copartnership,13,c,p,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,2,0,2,1,1,0,0,0,0,0,0
amoralism,9,a,m,2,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0
argil,5,a,l,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
greyback,8,g,k,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
insolations,11,i,s,1,0,0,0,0,0,0,0,2,0,0,1,0,2,2,0,0,0,2,1,0,0,0,0,0,0
flocky,6,f,y,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
disheartenments,15,d,s,1,0,0,1,3,0,0,1,1,0,0,0,1,2,0,0,0,1,2,2,0,0,0,0,0,0
homophonies,11,h,s,0,0,0,0,1,0,0,2,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0
absolutization,14,a,n,2,1,0,0,0,0,0,0,2,0,0,1,0,1,2,0,0,0,1,2,1,0,0,0,0,1
selenology,10,s,y,0,0,0,0,2,0,1,0,0,0,0,2,0,1,2,0,0,0,1,0,0,0,0,0,1,0
columella,9,c,a,1,0,1,0,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0
paramorphism,12,p,m,2,0,0,0,0,0,0,1,1,0,0,0,2,0,1,2,0,2,1,0,0,0,0,0,0,0
concubinary,11,c,y,1,1,2,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0
mainbrace,9,m,e,2,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
cheliform,9,c,m,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
collotype,9,c,e,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,0,0,0,1,0
spicer,6,s,r,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
